latitude,longitude,sound peak
51.5018234252,0.0046283001,0
51.5018234252,0.0046316003,35
51.5018234252,0.0046366004,21
51.5018234252,0.0046332998,4
51.5018310546,0.0046399998,6
51.5018310546,0.0046399998,4
51.5018310546,0.0046316003,55
51.5018234252,0.0046300001,33
51.5018234252,0.0046350002,18
51.5018157958,0.0046332998,28
51.5018157958,0.0046266002,7
51.5018081665,0.0046233005,5
51.5018081665,0.0046266002,5
51.5018081665,0.0046233005,9
51.5018081665,0.0046216006,5
51.5018081665,0.0046183004,13
51.5018081665,0.0046050004,9
51.5018081665,0.004585,9
51.5018081665,0.0045749998,4
51.5018081665,0.0045716004,47
51.5018157958,0.0045733003,7
51.5018157958,0.0045683002,53
51.5018157958,0.0045616002,9
51.5018157958,0.0045600004,18
51.5018157958,0.0045532999,11
51.5018234252,0.0045500001,43
51.5018234252,0.0045465998,44
51.5018310546,0.0045416002,20
51.501838684,0.0045433001,17
51.501838684,0.0045465998,12
51.5018463134,0.0045483007,6
51.5018463134,0.0045550003,7
51.5018463134,0.0045566005,35
51.5018463134,0.004565,8
51.5018463134,0.0045716004,42
51.5018463134,0.0045782999,19
51.5018463134,0.0045900001,8
51.5018539428,0.0046000003,9
51.5018539428,0.0046083002,24
51.5018539428,0.0046100001,12
51.5018539428,0.0046133003,22
51.5018653869,0.0046166,14
51.5018653869,0.0046166,33
51.5018653869,0.0046183004,80
51.5018653869,0.0046216006,96
51.5018653869,0.0046233005,45
51.5018653869,0.0046266002,20
51.5018653869,0.0046283001,41
51.5018653869,0.0046300001,19
51.5018653869,0.0046316003,57
51.5018653869,0.0046316003,26
51.5018653869,0.0046332998,9
51.5018653869,0.0046332998,17
51.5018653869,0.0046366004,17
51.5018653869,0.0046399998,8
51.5018653869,0.0046416001,19
51.5018653869,0.0046433,21
51.5018653869,0.0046482996,12
51.5018653869,0.0046515998,5
51.5018653869,0.0046533002,6
51.5018653869,0.0046550002,32
51.5018653869,0.0046550002,37
51.5018653869,0.0046550002,9
51.5018653869,0.0046550002,2
51.5018653869,0.0046550002,7
51.5018653869,0.0046550002,10
51.5018653869,0.0046550002,34
51.5018653869,0.0046565999,15
51.5018653869,0.0046565999,6
51.5018653869,0.0046600008,5
51.5018653869,0.0046665997,2
51.5018539428,0.0046683006,3
51.5018539428,0.0046633,83
51.5018539428,0.00467,66
51.5018539428,0.0046683006,35
51.501838684,0.0046782999,9
51.501838684,0.00467,39
51.5018310546,0.0046650004,16
51.5018310546,0.0046582999,17
51.5018310546,0.0046565999,45
51.5018310546,0.0046582999,5
51.5018310546,0.0046616001,3
51.5018310546,0.0046633,15
51.5018234252,0.0046665997,6
51.5018310546,0.0046665997,3
51.5018310546,0.0046665997,9
51.5018310546,0.0046633,4
51.5018310546,0.0046633,35
51.5018310546,0.0046633,3
51.5018310546,0.0046633,54
51.5018310546,0.0046616001,5
51.5018310546,0.0046600008,1
51.5018310546,0.0046565999,8
51.5018234252,0.0046382999,4
51.5018234252,0.0046200003,5
51.5018157958,0.0045915994,2
51.5018157958,0.0045866003,45
51.5018081665,0.0045483007,1
51.5018081665,0.0045365996,48
51.5017967224,0.004525,13
51.501789093,0.0045050001,30
51.5017814636,0.0044916005,15
51.5017662048,0.0044832997,28
51.5017585754,0.0044650001,6
51.501750946,0.0044516,6
51.5017433166,0.0044366002,2
51.5017318725,0.0044383001,28
51.5017242431,0.0044316,46
51.5017166137,0.0044265999,36
51.5017089843,0.0044166002,3
51.5017013549,0.0044033002,13
51.5016937255,0.0043916001,16
51.501674652,0.0043850002,22
51.5016670227,0.0043765997,15
51.5016593933,0.0043782997,1
51.5016593933,0.0043815999,3
51.5016517639,0.0043765997,2
51.5016441345,0.0043716001,2
51.5016365051,0.0043699998,11
51.5016288757,0.004355,9
51.5016212463,0.0043233003,2
51.5016098022,0.0043065996,5
51.5016021728,0.004295,8
51.5015945434,0.0042850003,2
51.5016021728,0.0042666001,4
51.5015945434,0.0042632999,4
51.501586914,0.0042499995,18
51.5015792846,0.0042483,2
51.5015792846,0.0042483,27
51.5015792846,0.0042466001,21
51.5015640258,0.0042466001,27
51.5015525817,0.0042483,2
51.5015449523,0.0042515997,14
51.5015373229,0.0042466001,68
51.5015373229,0.0042416005,13
51.5015296936,0.0042283005,24
51.5015220642,0.0042082996,11
51.5015144348,0.0042032999,13
51.5015144348,0.0041983003,13
51.5015068054,0.0041900005,13
51.501499176,0.0041866002,12
51.501499176,0.0041866002,12
51.501499176,0.0041799998,7
51.501499176,0.0041816,12
51.5014877319,0.0041915998,18
51.501499176,0.0041915998,24
51.5014877319,0.0041915998,65
51.5014801025,0.0042016,22
51.5014724731,0.0042032999,26
51.5014648437,0.0042032999,52
51.5014495849,0.0042183008,54
51.5014419555,0.0041983003,31
51.5014305114,0.0041965999,27
51.501422882,0.0041900005,52
51.5014152526,0.0041849999,46
51.5014076232,0.0041816,39
51.5013923645,0.0041783003,44
51.5013923645,0.0041882996,8
51.5013847351,0.0041799998,32
51.5013771057,0.0041882996,6
51.5013580322,0.0041965999,3
51.5013427734,0.0041900005,8
51.5013275146,0.0041750001,4
51.5013198852,0.0041733002,56
51.5013084411,0.0041666002,18
51.5012931823,0.0041650004,1
51.5012855529,0.0041616001,1
51.5012779235,0.0041583003,1
51.5012702941,0.0041532998,2
51.5012626647,0.0041550006,1
51.5012550354,0.0041783003,6
51.5012435913,0.0041750001,1
51.5012359619,0.0041750001,2
51.5012283325,0.0041716003,2
51.5012207031,0.0041750001,2
51.5012130737,0.0041683001,8
51.5012283325,0.0041633005,2
51.5012283325,0.0041416006,4
51.5012207031,0.0041433,9
51.5012130737,0.0041366,1
51.5012130737,0.0041233,1
51.5012054443,0.0041216001,11
51.5011978149,0.0041266002,6
51.5011978149,0.0041249995,2
51.5011863708,0.0041115999,1
51.501171112,0.0041033,1
51.5011634826,0.0041033,2
51.5011558532,0.0040883007,13
51.5011482238,0.0040915999,6
51.5011405944,0.0040866003,1
51.5011215209,0.004085,1
51.5011138916,0.0040799999,1
51.5011138916,0.0040716004,1
51.5010986328,0.0040683002,1
51.5010910034,0.0040716004,1
51.501083374,0.0040683002,1
51.5010643005,0.0040665998,1
51.5010566711,0.0040600004,1
51.5010566711,0.0040250005,7
51.5010414123,0.0040383,2
51.5010337829,0.0040350003,1
51.5010185241,0.0040250005,0
51.5010108947,0.0040100002,2
51.5009918212,0.0039983,1
