latitude,longitude,light,sound average,sound peak,MQ9 gas average,people
51.5023536682,0.0058215999,15,16.47,322,513.95,0
51.5023422241,0.0058315997,15,15.92,317,513.93,0
51.5023536682,0.0058315997,16,15.94,284,514.64,0
51.5023612976,0.0058300008,16,15.48,323,514.14,0
51.5023612976,0.0058249998,15,16.85,310,514.44,0
51.502368927,0.0058232998,14,17.18,318,515.02,0
51.502368927,0.0058249998,15,21.59,292,514.65,0
51.502368927,0.0058266,15,20.89,340,512.48,0
51.5023765563,0.0058282999,14,16.73,329,515.62,0
51.502368927,0.0058266,14,14.74,292,532,1
51.5023536682,0.0058249998,14,15.66,332,513.28,0
51.5023193359,0.0058183002,14,17.32,327,514.47,0
51.5022964477,0.005815,14,16.13,315,514.37,0
51.5022773742,0.0058099994,14,16.8,287,514.37,0
51.5022773742,0.0058050003,14,18.73,390,517.28,0
51.5022773742,0.0058016004,14,18.77,383,515.74,0
51.5022850036,0.0058016004,14,16.14,295,514.25,0
51.5022773742,0.0058000001,14,16.1,325,514.16,0
51.5022773742,0.0058000001,15,16.39,322,515.11,0
51.5022697448,0.0057933001,15,17.25,285,513.8,0
51.5022621154,0.0057900004,15,17.01,351,516.07,0
51.5022621154,0.0057900004,15,16.16,322,515.15,0
51.5022621154,0.0057866001,16,14.84,327,515.58,0
51.5022697448,0.0057816004,15,17.32,296,512.92,0
51.5022773742,0.0057833003,15,14.53,313,514.84,0
51.5022773742,0.005795,14,14.89,320,513.12,0
51.5022773742,0.0057983007,14,16.01,295,514.67,0
51.5022964477,0.0057966003,13,15.92,318,514.47,0
51.5023040771,0.0057933001,13,15.99,322,515.61,0
51.5023117065,0.0057915997,14,17.3,321,513.86,0
51.5023193359,0.0057915997,15,22.05,393,518.54,0
51.5023269653,0.0057915997,14,18.29,319,514.61,0
51.5023422241,0.0057966003,14,17.54,319,514.28,0
51.5023536682,0.0058050003,14,17.12,295,515.81,0
51.502368927,0.0058133001,14,16.45,313,512.12,0
51.5023765563,0.0058215999,15,16.64,329,515.48,0
51.5023918151,0.0058282999,15,17.14,312,512.87,0
51.5024070739,0.0058382997,14,16.7,288,514.07,0
51.5024337768,0.0058416004,15,19.43,318,515.3,0
51.5024414062,0.0058416004,14,15.59,331,515,0
51.502456665,0.0058450007,14,17.3,296,514.04,0
51.5024642944,0.0058500003,14,17.76,311,512.98,0
51.5024833679,0.0058583002,14,18.55,317,516.3,0
51.5024909973,0.0058616008,14,17.18,294,515.12,0
51.5025138854,0.0058632998,14,18.82,327,513.87,0
51.5025215148,0.0058750004,14,19.13,334,516.97,0
51.5025405883,0.0058800001,14,17.57,329,513.34,0
51.5025215148,0.0058866,14,18.89,292,514.07,0
51.5025405883,0.0058965997,14,41.19,306,519.67,0
51.5025558471,0.0059033002,14,41.54,332,514.16,0
51.5025787353,0.0059050006,14,46.13,297,514.69,0
51.5026130676,0.0059166007,14,33.54,317,519.41,0
51.502620697,0.0059183001,14,40.51,313,515.52,0
51.5026283264,0.0059216003,14,38.99,294,514.59,0
51.5026359558,0.0059250001,14,35.33,296,516.33,0
51.5026435852,0.0059265999,14,39.79,352,514.56,0
51.5026435852,0.0059265999,14,36.3,347,515.72,0
51.5026435852,0.0059250001,14,39.13,301,515.79,0
51.5026435852,0.0059250001,14,35.77,331,516.26,0
51.5026512145,0.0059283008,14,34.02,336,518.01,0
51.5026626586,0.0059250001,14,39.94,294,516.96,0
51.5026626586,0.0059283008,14,39.04,300,512.79,0
51.502670288,0.0059299998,14,36.05,321,514.96,0
51.5026779174,0.0059283008,14,38.75,328,516.92,0
51.5026779174,0.0059283008,14,36.79,312,515.29,0
51.5026855468,0.0059299998,14,39.49,348,514.57,0
51.5026931762,0.0059333,14,50.1,344,513.34,0
51.5027008056,0.0059365997,14,39.43,348,516.82,0
51.502708435,0.0059383001,14,37.07,274,517.66,0
51.502708435,0.0059350004,14,38.58,342,513.01,0
51.5027198791,0.0059383001,14,41.43,452,516.48,0
51.5027275085,0.0059333,14,38.97,362,517.55,0
51.5027351379,0.0059299998,14,39.31,331,518.91,0
51.5027503967,0.0059316005,14,37.69,349,514.49,0
51.5027656555,0.0059350004,14,39.98,312,512.78,0
51.5027732849,0.0059316005,14,38.42,334,518,0
51.502784729,0.0059333,14,37.52,338,516.31,0
51.5027923583,0.0059383001,14,36.22,338,514.45,0
51.5027999877,0.0059365997,14,41.23,278,520.92,0
51.5028152465,0.0059333,14,39.55,334,516.8,0
51.5028305053,0.0059350004,14,37.54,327,512.89,0
51.5028305053,0.0059383001,14,42.65,318,517.97,2
51.5028419494,0.0059450001,13,40.22,361,516.53,1
51.5028419494,0.0059549999,13,38.59,341,517.58,0
51.5028419494,0.0059682998,14,41.31,351,515.98,0
51.5028495788,0.0059766006,13,38.94,302,516.28,0
51.5028495788,0.0059850001,14,40.71,352,515.85,0
51.5028572082,0.0059899997,15,40.99,336,512.73,0
51.5028572082,0.006,15,40.04,282,516.3,0
51.5029640197,0.0060416007,16,40.76,332,513.1,0
