latitude,longitude,MQ135 value 0-1024,CO ppm
51.5018081665,0.0053916001,253,0.7925355
51.5018081665,0.0053916001,251,0.77892774
51.5018081665,0.0053883004,249,0.76550776
51.5018081665,0.0053883004,248,0.73978657
51.5017967224,0.0053883004,245,0.7159957
51.5017967224,0.0053883004,240,0.65055674
51.5017967224,0.0053900003,240,0.6325717
51.5018959045,0.0055033006,239,0.58168393
51.5019302368,0.0055166001,238,0.5989828
51.5019187927,0.005525,238,0.59057707
51.5017967224,0.0053950004,238,0.5270957
51.5019607543,0.0055200004,237,0.5838971
51.5019378662,0.0055066003,237,0.5897536
51.5019111633,0.0055266003,237,0.5792457
51.5019035339,0.0055100007,237,0.59317154
51.5019683837,0.0055216002,236,0.58576626
51.5018806457,0.0054899997,236,0.50833994
51.5017967224,0.0053916001,236,0.63443935
51.5019760131,0.0055283002,235,0.5750848
51.5019111633,0.0055283002,235,0.5459576
51.5019035339,0.0055166001,235,0.5802898
51.5019874572,0.0055300002,234,0.56183916
51.5017967224,0.0053950004,234,0.48426503
51.5027732849,0.0059365997,233,0.53488153
51.5027732849,0.0059466004,233,0.5392468
51.5019950866,0.0055315999,233,0.5418793
51.5018806457,0.0054850001,233,0.53054494
51.502784729,0.0059333,232,0.518976
51.5020675659,0.0056265997,232,0.50813097
51.5020256042,0.0055900001,232,0.54056156
51.5017967224,0.0053933,232,0.5393558
51.5017967224,0.0053933,232,0.5459576
51.5020980834,0.0056600003,231,0.5186573
51.5020179748,0.0055599999,231,0.5102225
51.5019035339,0.005525,231,0.54617864
51.5018806457,0.0054816002,231,0.4731162
51.5021324157,0.00569,230,0.5055263
51.502784729,0.00592,229,0.49144086
51.5017967224,0.0053950004,229,0.5269882
51.5018463134,0.0054433002,228,0.47558683
51.502002716,0.0055399999,226,0.48537135
51.5018730163,0.0054732999,226,0.47360963
51.5018081665,0.0053950004,225,0.4750919
51.5020523071,0.0056133003,224,0.48900568
51.5027732849,0.0059532999,222,0.45735326
51.5022468566,0.0056950001,222,0.41637745
