latitude,longitude,MQ135 value 0-1024,CO ppm
51.504573822,0.0017083001,158,0.0918868
51.5045814514,0.0017300002,162,0.0967576
51.5045890808,0.0017516,161,0.092558905
51.5045967102,0.0017733,158,0.08492157
51.504623413,0.0018900001,158,0.09520369
51.504623413,0.0019133,162,0.09998303
51.5046310424,0.0019365999,162,0.09617256
51.5046386718,0.00196,160,0.089079835
51.50466156,0.002045,158,0.08913217
51.5046730041,0.0020616002,159,0.08629016
51.5047264099,0.0021082999,158,0.09021019
51.5047454833,0.0021183001,160,0.089867264
51.5047607421,0.0021283001,158,0.08918449
51.5047683715,0.0021333,158,0.085882865
51.5048408508,0.00223,159,0.092316486
51.5048484802,0.0022533001,160,0.09366959
51.5048484802,0.0031383001,175,0.14183377
51.5048484802,0.0031583003,174,0.13965361
51.5048484802,0.0031800003,174,0.14062767
51.5048484802,0.0032016003,175,0.1465852
51.5048484802,0.0034816,170,0.12369462
51.5048484802,0.0035032999,174,0.13809161
51.5048408508,0.003525,173,0.13965361
51.5048408508,0.0035450005,173,0.13316439
51.5048332214,0.003565,172,0.12677823
51.5048332214,0.0035866003,173,0.13276915
51.504825592,0.0036100001,174,0.1428577
51.5048179626,0.0036316001,175,0.1363967
51.5048179626,0.0036549999,172,0.12904297
51.5048103332,0.0036750001,171,0.13226745
51.5048027038,0.0036966001,172,0.13424703
51.5048027038,0.0037165999,173,0.13798057
51.5047950744,0.0037349998,174,0.13713156
51.5047950744,0.0037550001,176,0.1523808
51.5047836303,0.0037766003,177,0.16130894
51.5047836303,0.0037966001,183,0.17462598
51.5047836303,0.0038166,183,0.17289302
51.5047836303,0.0038366004,183,0.16933757
51.5047760009,0.0038533,181,0.16481544
51.5047760009,0.003875,182,0.16601191
51.5047683715,0.0038966002,186,0.1878068
51.5047683715,0.0039182996,187,0.1925324
51.5047683715,0.0039400005,187,0.19393429
51.5047607421,0.0039616001,189,0.19917767
51.5047607421,0.0039833002,188,0.1951494
51.5047607421,0.0040065999,188,0.18975246
51.5047531127,0.0040283002,186,0.18512805
51.5047531127,0.0040500001,184,0.16519926
51.5047454833,0.0040700001,179,0.14608133
51.5047454833,0.0040915999,175,0.13562854
51.504737854,0.0041100001,172,0.12274755
51.504737854,0.0041282997,168,0.12332182
51.5047264099,0.0041449999,172,0.13573804
51.5047187805,0.0041599998,175,0.14561722
51.5047187805,0.0041766004,177,0.15126312
51.5047111511,0.0041950001,178,0.15366623
51.5047035217,0.0042133002,178,0.15050839
51.5047035217,0.0042333002,179,0.14975664
51.5046958923,0.0042515997,174,0.13392156
51.5046882629,0.0042683,172,0.13946696
51.5046730041,0.0042866001,178,0.16034794
51.50466156,0.0043065996,179,0.16579765
51.5046539306,0.0043233003,181,0.16626903
51.5046539306,0.0043416004,181,0.16747393
51.5046386718,0.0043599996,182,0.17686774
51.5046310424,0.0043750004,183,0.17614782
51.504623413,0.0043933,183,0.17863208
51.5046157836,0.0044100003,186,0.18322012
51.5045967102,0.0044283003,183,0.1756991
51.5045890808,0.0044466004,184,0.17854126
51.5045814514,0.0044666004,181,0.16434728
51.504573822,0.0044850006,181,0.17042866
51.504573822,0.0045016002,180,0.16777615
51.5045661926,0.0045183,181,0.16349874
51.5045509338,0.0045349998,180,0.16756018
51.5045394897,0.0045532999,183,0.17139347
51.5045318603,0.0045700001,183,0.17475975
51.5045242309,0.0045866003,183,0.17253935
51.5045089721,0.0046050004,182,0.15848061
51.5045089721,0.0046200003,178,0.15753295
51.5044937133,0.0046366004,180,0.15597709
51.5044746398,0.0046533002,178,0.15398894
51.5044670104,0.00467,179,0.16481544
51.5044593811,0.0046883001,180,0.169599
51.5044517517,0.0047066001,182,0.17231847
51.5044364929,0.0047266001,180,0.15968205
51.5044288635,0.0047449998,179,0.16885932
51.5044288635,0.0047649998,183,0.18266469
51.5044288635,0.0047816004,185,0.19296664
51.5044174194,0.0047916002,189,0.2166965
51.5044021606,0.0048000001,192,0.207432
51.50440979,0.0048016004,197,0.2353619
51.50440979,0.0048033003,198,0.24848038
51.5044174194,0.0048050003,195,0.23883162
51.5044174194,0.0048066,198,0.260453
51.50440979,0.0048066,199,0.25655362
51.5044021606,0.0048066,187,0.18766499
51.5044174194,0.0048083,200,0.26316106
51.5044174194,0.0048083,200,0.2639036
51.5043945312,0.0048199996,186,0.18494126
51.5043869018,0.0048383002,183,0.17525135
51.5043869018,0.0048566007,182,0.16554102
51.5043792724,0.0048733,179,0.15540695
51.5043601989,0.0048866004,179,0.1510642
51.5043525695,0.0048983006,175,0.14779262
51.5043373107,0.0049116001,178,0.15362585
51.5043296813,0.0049299998,179,0.1529823
51.504322052,0.0049450006,180,0.1606399
51.5043144226,0.00496,179,0.1593085
51.5043067932,0.0049732999,179,0.15569185
51.5042877197,0.0049883003,177,0.14794895
51.5042800903,0.0050050001,176,0.14716852
51.5042648315,0.0050216007,178,0.16030629
51.5013656616,0.0050349998,158,0.092316486
51.5042648315,0.0050383,182,0.1796336
51.5013580322,0.0050400009,163,0.105010115
51.5015640258,0.005045,188,0.19407985
51.5015525817,0.005045,187,0.20468464
51.5015296936,0.005045,161,0.087418266
51.5015716552,0.0050466003,187,0.19296664
51.5015640258,0.0050466003,186,0.1878068
51.5015640258,0.0050466003,185,0.18941921
51.5015640258,0.0050466003,185,0.18160379
